e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.208 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.985 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.897 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  6.155 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.12 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.226 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.481 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.002 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.505 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  4.631 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  5.187 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  4.826 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  6.623 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.903 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.61 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.468 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.383 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.583 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.866 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.674 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  6570.41 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  30442.8 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  32802.1 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  40217.8 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  36341.1 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  35241.8 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  36285.7 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  32093.1 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  32766.2 
e1/break_sentence ; 0.000000000000000000, 0.000000000000000000,  ,  ,  33674.1 
